series_id,week,promo_state,sales_units
1,1,Feature,302.5
1,2,TPR,227.8
1,3,TPR,229.4
1,4,TPR,218.5
1,5,TPR,274.9
1,6,TPR,224.8
1,7,End,229.2
1,8,End,158.8
1,9,End,193.6
1,10,End,192.3
1,11,End,222.7
1,12,End,178.0
1,13,End,196.6
1,14,End,182.4
1,15,End,200.8
1,16,End,211.7
1,17,End,178.0
1,18,End,222.9
1,19,End,218.0
1,20,End,210.0
1,21,End,218.0
1,22,End,186.3
1,23,End,197.5
1,24,End,181.3
1,25,End,194.6
1,26,End,210.6
1,27,End,186.2
1,28,End,192.1
1,29,End,186.3
1,30,End,183.1
1,31,End,186.6
1,32,End,199.7
1,33,End,177.7
1,34,End,204.7
1,35,End,233.2
1,36,End,214.8
1,37,End,196.2
1,38,End,182.2
1,39,End,185.1
1,40,End,233.8
1,41,End,201.0
1,42,End,187.3
1,43,End,203.8
1,44,End,242.0
1,45,End,202.4
1,46,End,212.3
1,47,End,206.0
1,48,End,193.0
1,49,End,177.1
1,50,End,193.0
1,51,End,195.8
1,52,End,211.7
1,53,End,216.8
1,54,End,218.6
1,55,End,205.7
1,56,End,217.7
1,57,End,184.9
1,58,End,225.1
1,59,End,210.3
1,60,End,194.0
1,61,End,209.8
1,62,End,198.5
1,63,End,222.6
1,64,End,230.4
1,65,End,243.7
1,66,End,172.1
1,67,End,171.1
1,68,End,189.9
1,69,End,203.2
1,70,End,217.5
1,71,End,206.3
1,72,End,159.6
1,73,End,193.9
1,74,End,216.6
1,75,End,204.6
1,76,End,215.2
1,77,End,195.6
1,78,End,196.0
1,79,End,203.7
1,80,End,208.2
1,81,End,204.0
1,82,End,202.4
1,83,End,186.6
1,84,End,207.6
1,85,End,202.4
1,86,End,222.6
1,87,End,224.0
1,88,End,203.7
1,89,End,192.5
1,90,End,187.2
1,91,End,208.5
1,92,End,201.5
1,93,End,193.1
1,94,End,200.9
1,95,End,187.6
1,96,End,214.0
1,97,End,191.1
1,98,End,224.5
1,99,End,208.1
1,100,End,211.9
1,101,End,178.1
1,102,End,203.4
1,103,End,214.8
1,104,End,180.9
2,1,Feature,261.7
2,2,Feature,268.9
2,3,Feature,234.1
2,4,Feature,253.2
2,5,Display,238.8
2,6,Display,241.8
2,7,Display,260.8
2,8,Feature,247.6
2,9,F+D,339.6
2,10,F+D,363.5
2,11,TPR,225.0
2,12,TPR,240.2
2,13,TPR,245.1
2,14,TPR,220.2
2,15,TPR,227.2
2,16,TPR,216.2
2,17,TPR,234.6
2,18,TPR,284.6
2,19,TPR,247.4
2,20,TPR,267.2
2,21,Display,260.0
2,22,End,210.8
2,23,End,216.1
2,24,End,162.0
2,25,End,166.2
2,26,End,161.3
2,27,End,203.9
2,28,End,230.3
2,29,End,201.2
2,30,End,212.1
2,31,End,195.6
2,32,End,186.2
2,33,End,194.2
2,34,End,221.9
2,35,End,228.1
2,36,End,210.8
2,37,End,189.4
2,38,End,183.1
2,39,End,156.2
2,40,End,207.4
2,41,End,204.0
2,42,End,141.6
2,43,End,176.8
2,44,End,183.0
2,45,End,222.5
2,46,End,192.3
2,47,End,185.5
2,48,End,228.3
2,49,End,211.4
2,50,End,168.2
2,51,End,198.7
2,52,End,151.2
2,53,End,164.1
2,54,End,179.5
2,55,End,208.9
2,56,End,201.0
2,57,End,193.2
2,58,End,186.0
2,59,End,177.1
2,60,End,212.6
2,61,End,236.3
2,62,End,179.0
2,63,End,180.0
2,64,End,209.8
2,65,End,205.6
2,66,End,207.7
2,67,End,215.4
2,68,End,212.9
2,69,End,170.1
2,70,End,204.6
2,71,End,203.4
2,72,End,215.3
2,73,End,174.6
2,74,End,183.5
2,75,End,196.9
2,76,End,216.2
2,77,End,245.4
2,78,End,216.8
2,79,End,208.5
2,80,End,222.4
2,81,End,206.9
2,82,End,175.7
2,83,End,259.5
2,84,End,186.7
2,85,End,179.2
2,86,End,216.3
2,87,End,199.5
2,88,End,199.6
2,89,End,171.2
2,90,End,218.2
2,91,End,181.6
2,92,End,186.0
2,93,End,195.2
2,94,End,163.7
2,95,End,223.8
2,96,End,203.4
2,97,End,213.3
2,98,End,175.1
2,99,End,214.1
2,100,End,183.5
2,101,End,222.5
2,102,End,211.5
2,103,End,189.7
2,104,End,205.1
3,1,Feature,305.8
3,2,Feature,278.7
3,3,Feature,264.5
3,4,TPR,232.9
3,5,TPR,239.1
3,6,Feature,260.5
3,7,Feature,287.6
3,8,TPR,274.2
3,9,Feature,259.1
3,10,Feature,239.1
3,11,F+D,316.3
3,12,F+D,335.9
3,13,F+D,319.5
3,14,Display,245.7
3,15,End,184.6
3,16,End,195.4
3,17,End,214.9
3,18,End,239.5
3,19,End,175.1
3,20,End,187.5
3,21,End,183.9
3,22,End,151.6
3,23,End,181.5
3,24,End,179.5
3,25,End,222.5
3,26,End,197.4
3,27,End,167.5
3,28,End,212.9
3,29,End,192.9
3,30,End,165.1
3,31,End,188.1
3,32,End,188.2
3,33,End,182.5
3,34,End,200.6
3,35,End,155.0
3,36,End,194.6
3,37,End,220.3
3,38,End,217.1
3,39,End,222.2
3,40,End,222.4
3,41,End,229.8
3,42,End,177.6
3,43,End,216.9
3,44,End,162.8
3,45,End,187.9
3,46,End,161.7
3,47,End,221.0
3,48,End,226.7
3,49,End,196.1
3,50,End,235.5
3,51,End,186.5
3,52,End,203.0
3,53,End,203.1
3,54,End,178.7
3,55,End,208.8
3,56,End,238.8
3,57,End,179.5
3,58,End,218.0
3,59,End,196.9
3,60,End,235.4
3,61,End,209.7
3,62,End,213.5
3,63,End,212.9
3,64,End,205.0
3,65,End,172.1
3,66,End,227.8
3,67,End,172.6
3,68,End,204.8
3,69,End,212.3
3,70,End,183.2
3,71,End,202.9
3,72,End,223.4
3,73,End,199.5
3,74,End,182.2
3,75,End,141.7
3,76,End,180.6
3,77,End,188.2
3,78,End,189.7
3,79,End,180.8
3,80,End,207.5
3,81,End,188.5
3,82,End,197.8
3,83,End,213.6
3,84,End,182.9
3,85,End,194.0
3,86,End,243.2
3,87,End,217.5
3,88,End,174.1
3,89,End,198.4
3,90,End,211.3
3,91,End,224.7
3,92,End,203.0
3,93,End,189.4
3,94,End,185.4
3,95,End,212.9
3,96,End,206.3
3,97,End,189.7
3,98,End,196.2
3,99,End,191.7
3,100,End,214.5
3,101,End,186.2
3,102,End,209.7
3,103,End,217.0
3,104,End,209.7
4,1,Feature,271.0
4,2,End,210.0
4,3,End,219.9
4,4,End,221.6
4,5,End,229.0
4,6,End,193.2
4,7,End,207.3
4,8,End,193.9
4,9,End,190.3
4,10,End,197.6
4,11,End,198.4
4,12,End,211.3
4,13,End,196.4
4,14,End,204.0
4,15,End,203.4
4,16,End,185.7
4,17,End,210.5
4,18,End,185.1
4,19,End,215.0
4,20,End,150.8
4,21,End,200.7
4,22,End,214.5
4,23,End,228.7
4,24,End,253.1
4,25,End,175.8
4,26,End,233.9
4,27,End,177.2
4,28,End,233.1
4,29,End,226.4
4,30,End,212.2
4,31,End,191.2
4,32,End,177.2
4,33,End,239.7
4,34,End,200.5
4,35,End,207.2
4,36,End,167.7
4,37,End,216.5
4,38,End,205.2
4,39,End,227.5
4,40,End,172.5
4,41,End,199.8
4,42,End,172.2
4,43,End,224.6
4,44,End,194.9
4,45,End,217.1
4,46,End,196.5
4,47,End,166.1
4,48,End,180.9
4,49,End,223.1
4,50,End,204.8
4,51,End,205.5
4,52,End,220.9
4,53,End,203.6
4,54,End,184.5
4,55,End,216.4
4,56,End,182.0
4,57,End,200.7
4,58,End,219.4
4,59,End,187.0
4,60,End,203.1
4,61,End,178.5
4,62,End,202.3
4,63,End,168.9
4,64,End,226.1
4,65,End,206.6
4,66,End,186.1
4,67,End,254.3
4,68,End,211.1
4,69,End,199.1
4,70,End,224.5
4,71,End,200.9
4,72,End,227.6
4,73,End,204.3
4,74,End,211.0
4,75,End,192.3
4,76,End,180.1
4,77,End,192.7
4,78,End,218.0
4,79,End,197.6
4,80,End,172.7
4,81,End,231.7
4,82,End,171.4
4,83,End,167.6
4,84,End,191.4
4,85,End,167.5
4,86,End,164.8
4,87,End,185.7
4,88,End,204.3
4,89,End,217.8
4,90,End,223.2
4,91,End,190.3
4,92,End,220.8
4,93,End,203.0
4,94,End,188.1
4,95,End,206.8
4,96,End,190.1
4,97,End,191.8
4,98,End,226.6
4,99,End,198.9
4,100,End,213.8
4,101,End,215.6
4,102,End,216.2
4,103,End,189.8
4,104,End,200.9
5,1,Feature,278.8
5,2,Feature,263.4
5,3,End,248.6
5,4,End,195.0
5,5,End,202.2
5,6,End,231.6
5,7,End,181.8
5,8,End,188.2
5,9,End,203.8
5,10,End,193.4
5,11,End,176.1
5,12,End,195.9
5,13,End,192.8
5,14,End,212.1
5,15,End,166.7
5,16,End,186.0
5,17,End,223.0
5,18,End,237.1
5,19,End,169.8
5,20,End,212.9
5,21,End,180.4
5,22,End,182.9
5,23,End,182.6
5,24,End,191.5
5,25,End,219.9
5,26,End,214.2
5,27,End,201.2
5,28,End,192.7
5,29,End,200.1
5,30,End,197.9
5,31,End,215.9
5,32,End,187.4
5,33,End,199.9
5,34,End,198.0
5,35,End,199.0
5,36,End,205.0
5,37,End,204.0
5,38,End,226.7
5,39,End,198.3
5,40,End,231.2
5,41,End,193.9
5,42,End,190.4
5,43,End,202.0
5,44,End,207.1
5,45,End,205.4
5,46,End,225.8
5,47,End,222.8
5,48,End,209.9
5,49,End,193.3
5,50,End,198.0
5,51,End,228.3
5,52,End,204.4
5,53,End,173.8
5,54,End,186.2
5,55,End,188.4
5,56,End,223.0
5,57,End,197.9
5,58,End,245.2
5,59,End,213.1
5,60,End,202.5
5,61,End,191.3
5,62,End,219.4
5,63,End,195.2
5,64,End,183.5
5,65,End,211.4
5,66,End,200.3
5,67,End,223.8
5,68,End,198.5
5,69,End,142.8
5,70,End,215.8
5,71,End,162.4
5,72,End,230.8
5,73,End,236.4
5,74,End,191.5
5,75,End,176.7
5,76,End,172.1
5,77,End,217.5
5,78,End,196.0
5,79,End,188.0
5,80,End,195.1
5,81,End,241.8
5,82,End,206.9
5,83,End,214.9
5,84,End,215.5
5,85,End,220.4
5,86,End,221.2
5,87,End,185.8
5,88,End,195.7
5,89,End,184.8
5,90,End,185.8
5,91,End,222.8
5,92,End,190.0
5,93,End,198.4
5,94,End,186.1
5,95,End,188.1
5,96,End,215.8
5,97,End,191.1
5,98,End,190.4
5,99,End,209.9
5,100,End,210.0
5,101,End,215.8
5,102,End,203.4
5,103,End,164.9
5,104,End,212.6
6,1,Feature,263.8
6,2,End,214.6
6,3,End,215.2
6,4,End,248.5
6,5,End,164.1
6,6,End,182.3
6,7,End,179.5
6,8,End,240.6
6,9,End,202.6
6,10,End,234.5
6,11,End,237.0
6,12,End,220.1
6,13,End,219.8
6,14,End,195.4
6,15,End,217.5
6,16,End,212.7
6,17,End,218.0
6,18,End,220.3
6,19,End,178.9
6,20,End,202.3
6,21,End,197.9
6,22,End,210.1
6,23,End,214.1
6,24,End,181.6
6,25,End,219.3
6,26,End,233.3
6,27,End,205.5
6,28,End,202.7
6,29,End,174.5
6,30,End,184.7
6,31,End,229.6
6,32,End,188.3
6,33,End,186.9
6,34,End,231.3
6,35,End,199.5
6,36,End,205.1
6,37,End,229.0
6,38,End,182.6
6,39,End,196.3
6,40,End,184.9
6,41,End,214.7
6,42,End,215.1
6,43,End,182.7
6,44,End,187.9
6,45,End,158.8
6,46,End,192.8
6,47,End,184.1
6,48,End,212.0
6,49,End,218.5
6,50,End,190.9
6,51,End,217.9
6,52,End,205.3
6,53,End,208.6
6,54,End,176.7
6,55,End,150.6
6,56,End,187.7
6,57,End,214.7
6,58,End,210.9
6,59,End,183.6
6,60,End,208.3
6,61,End,193.8
6,62,End,202.9
6,63,End,178.3
6,64,End,194.1
6,65,End,181.8
6,66,End,209.9
6,67,End,174.6
6,68,End,215.2
6,69,End,200.4
6,70,End,185.0
6,71,End,225.4
6,72,End,174.9
6,73,End,206.6
6,74,End,222.0
6,75,End,180.8
6,76,End,204.4
6,77,End,181.5
6,78,End,213.1
6,79,End,189.0
6,80,End,199.8
6,81,End,216.1
6,82,End,191.8
6,83,End,234.4
6,84,End,243.1
6,85,End,221.8
6,86,End,191.2
6,87,End,187.3
6,88,End,192.4
6,89,End,167.0
6,90,End,208.9
6,91,End,187.5
6,92,End,210.7
6,93,End,210.1
6,94,End,226.4
6,95,End,201.5
6,96,End,188.9
6,97,End,209.4
6,98,End,203.6
6,99,End,213.8
6,100,End,215.8
6,101,End,188.0
6,102,End,199.9
6,103,End,242.8
6,104,End,232.1
7,1,Feature,303.8
7,2,End,190.7
7,3,End,201.9
7,4,End,264.0
7,5,End,196.9
7,6,End,194.2
7,7,End,240.5
7,8,End,200.0
7,9,End,190.5
7,10,End,224.3
7,11,End,196.7
7,12,End,193.3
7,13,End,199.7
7,14,End,200.4
7,15,End,215.0
7,16,End,198.3
7,17,End,201.4
7,18,End,193.3
7,19,End,217.5
7,20,End,202.1
7,21,End,201.4
7,22,End,177.9
7,23,End,215.9
7,24,End,223.5
7,25,End,171.3
7,26,End,196.9
7,27,End,153.4
7,28,End,196.6
7,29,End,155.0
7,30,End,192.4
7,31,End,209.5
7,32,End,212.0
7,33,End,213.9
7,34,End,164.3
7,35,End,192.7
7,36,End,165.4
7,37,End,226.8
7,38,End,174.9
7,39,End,186.3
7,40,End,156.5
7,41,End,187.2
7,42,End,232.2
7,43,End,189.9
7,44,End,231.4
7,45,End,238.2
7,46,End,179.1
7,47,End,149.1
7,48,End,213.7
7,49,End,204.3
7,50,End,236.9
7,51,End,203.3
7,52,End,201.4
7,53,End,193.1
7,54,End,202.8
7,55,End,216.1
7,56,End,166.7
7,57,End,224.5
7,58,End,198.0
7,59,End,192.1
7,60,End,184.7
7,61,End,233.4
7,62,End,194.9
7,63,End,177.4
7,64,End,199.1
7,65,End,174.1
7,66,End,176.9
7,67,End,182.8
7,68,End,189.8
7,69,End,173.6
7,70,End,156.6
7,71,End,213.5
7,72,End,212.5
7,73,End,146.1
7,74,End,230.6
7,75,End,207.1
7,76,End,205.1
7,77,End,220.8
7,78,End,212.1
7,79,End,192.5
7,80,End,212.6
7,81,End,228.7
7,82,End,197.7
7,83,End,185.2
7,84,End,209.1
7,85,End,189.0
7,86,End,204.0
7,87,End,222.3
7,88,End,189.8
7,89,End,238.3
7,90,End,172.2
7,91,End,215.9
7,92,End,211.3
7,93,End,177.9
7,94,End,152.1
7,95,End,201.3
7,96,End,186.6
7,97,End,223.1
7,98,End,207.6
7,99,End,213.9
7,100,End,176.4
7,101,End,193.0
7,102,End,190.7
7,103,End,175.7
7,104,End,205.5
8,1,Feature,271.8
8,2,Feature,291.8
8,3,TPR,201.1
8,4,TPR,212.3
8,5,TPR,274.6
8,6,F+D,384.1
8,7,F+D,316.3
8,8,Display,298.3
8,9,End,177.5
8,10,End,186.7
8,11,End,192.4
8,12,End,184.2
8,13,End,217.2
8,14,End,195.4
8,15,End,198.7
8,16,End,195.8
8,17,End,226.9
8,18,End,187.9
8,19,End,196.5
8,20,End,208.5
8,21,End,167.1
8,22,End,190.3
8,23,End,210.7
8,24,End,223.3
8,25,End,203.2
8,26,End,186.5
8,27,End,228.9
8,28,End,195.6
8,29,End,200.6
8,30,End,203.6
8,31,End,198.7
8,32,End,189.2
8,33,End,209.5
8,34,End,176.7
8,35,End,190.0
8,36,End,191.8
8,37,End,181.3
8,38,End,201.7
8,39,End,202.9
8,40,End,201.5
8,41,End,196.9
8,42,End,211.0
8,43,End,234.0
8,44,End,220.1
8,45,End,137.3
8,46,End,222.8
8,47,End,162.6
8,48,End,164.4
8,49,End,202.6
8,50,End,173.0
8,51,End,231.1
8,52,End,213.9
8,53,End,183.8
8,54,End,167.1
8,55,End,206.6
8,56,End,224.5
8,57,End,201.9
8,58,End,237.5
8,59,End,210.7
8,60,End,216.0
8,61,End,193.9
8,62,End,207.6
8,63,End,195.5
8,64,End,162.3
8,65,End,249.5
8,66,End,197.1
8,67,End,202.3
8,68,End,226.6
8,69,End,202.2
8,70,End,204.3
8,71,End,208.6
8,72,End,177.0
8,73,End,230.5
8,74,End,207.2
8,75,End,187.8
8,76,End,218.6
8,77,End,207.1
8,78,End,181.0
8,79,End,203.0
8,80,End,200.0
8,81,End,206.7
8,82,End,207.5
8,83,End,214.3
8,84,End,176.0
8,85,End,200.0
8,86,End,181.6
8,87,End,209.9
8,88,End,173.4
8,89,End,156.2
8,90,End,191.3
8,91,End,250.9
8,92,End,223.0
8,93,End,201.7
8,94,End,249.7
8,95,End,196.1
8,96,End,196.3
8,97,End,217.1
8,98,End,206.1
8,99,End,198.6
8,100,End,190.6
8,101,End,198.7
8,102,End,221.1
8,103,End,173.8
8,104,End,186.6
9,1,Feature,270.0
9,2,Feature,264.2
9,3,TPR,232.4
9,4,TPR,230.4
9,5,TPR,235.2
9,6,TPR,227.0
9,7,End,212.7
9,8,End,234.8
9,9,End,205.9
9,10,End,214.2
9,11,End,236.5
9,12,End,208.6
9,13,End,230.9
9,14,End,182.0
9,15,End,197.3
9,16,End,226.0
9,17,End,213.5
9,18,End,200.6
9,19,End,218.4
9,20,End,207.6
9,21,End,210.3
9,22,End,192.9
9,23,End,204.2
9,24,End,206.6
9,25,End,190.0
9,26,End,158.2
9,27,End,198.3
9,28,End,249.1
9,29,End,146.6
9,30,End,181.7
9,31,End,195.5
9,32,End,205.4
9,33,End,222.6
9,34,End,220.8
9,35,End,226.1
9,36,End,227.8
9,37,End,186.9
9,38,End,198.9
9,39,End,190.0
9,40,End,208.7
9,41,End,192.5
9,42,End,181.5
9,43,End,238.3
9,44,End,197.0
9,45,End,187.2
9,46,End,216.5
9,47,End,175.8
9,48,End,189.9
9,49,End,186.0
9,50,End,160.5
9,51,End,146.9
9,52,End,198.8
9,53,End,186.9
9,54,End,186.8
9,55,End,215.4
9,56,End,182.0
9,57,End,233.9
9,58,End,166.1
9,59,End,144.1
9,60,End,195.5
9,61,End,207.9
9,62,End,233.2
9,63,End,190.1
9,64,End,192.5
9,65,End,196.6
9,66,End,248.3
9,67,End,163.8
9,68,End,206.8
9,69,End,199.5
9,70,End,180.8
9,71,End,192.3
9,72,End,202.2
9,73,End,182.9
9,74,End,200.0
9,75,End,213.3
9,76,End,215.0
9,77,End,190.7
9,78,End,194.5
9,79,End,200.7
9,80,End,217.0
9,81,End,203.3
9,82,End,224.2
9,83,End,210.1
9,84,End,168.3
9,85,End,220.5
9,86,End,186.9
9,87,End,210.7
9,88,End,199.8
9,89,End,218.5
9,90,End,200.9
9,91,End,202.8
9,92,End,166.9
9,93,End,227.4
9,94,End,200.5
9,95,End,192.1
9,96,End,225.7
9,97,End,211.2
9,98,End,204.8
9,99,End,209.6
9,100,End,201.2
9,101,End,178.6
9,102,End,174.5
9,103,End,218.4
9,104,End,221.1
10,1,Feature,296.6
10,2,Feature,284.3
10,3,Feature,282.4
10,4,Feature,255.6
10,5,TPR,245.3
10,6,TPR,242.2
10,7,TPR,248.7
10,8,Display,284.1
10,9,Display,264.6
10,10,Display,268.9
10,11,Feature,299.7
10,12,Feature,248.4
10,13,Feature,275.3
10,14,F+D,387.7
10,15,F+D,342.0
10,16,End,228.0
10,17,End,187.8
10,18,End,194.6
10,19,End,186.7
10,20,End,193.1
10,21,End,216.1
10,22,End,242.8
